Campus,Dorm_Name,Type,Number_Students,Floors,Average_Room_Size,Availability,Occupancy,Room_Style,AC,Bathroom,Kitchen,Elevator,Open_During_Breaks,URL
College Ave,Stonier Hall,Dorm,170,5,192,"Continuing, First-Year",2,double,Air Cooled,Private ,Communal,Yes,No,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/stonier-hall
College Ave,Tinsley Hall,Dorm,203,4,192,First-Year,2,double,No,Communal,Communal,Yes,Yes,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/tinsley-hall
College Ave,University Center at Easton Avenue,Apartment,649,12,216,Continuing,4,double,Yes,Private ,Yes,Yes,Yes,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/university-center-easton-avenue
Cook/Douglass,Henderson Apartments,Apartment,274,4,192,Continuing,4,double,Air Cooled,Private ,Yes,No,Yes,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/henderson-apartments
Cook/Douglass,Helyar House,Dorm,40,2,180,"Continuing, First-Year",2,double,No,Communal,Communal,No,Yes,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/helyar-house
Cook/Douglass,Jameson Hall,Dorm,280,"2 floors (Jameson G), 3 floors (Jameson W)",Varies,Continuing,2,double,No,Communal,Communal,Yes,No,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/jameson-hall
Cook/Douglass,Katzenbach Hall,Dorm,236,4,154,First-Year,2,double,No,Communal,Communal,Yes,No,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/katzenbach-hall
Cook/Douglass,Lippincott Hall,Dorm,238,4,154,First-Year,2,double,No,Communal,Communal,Yes,No,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/lippincott-hall
Cook/Douglass,Newell Apartments,Apartment,982,2,143,Continuing,2,single,Air Cooled,Private ,Yes,No,Yes,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/newell-apartments
Cook/Douglass,Nicholas Hall,Dorm,230,3,176,"First-Year, Transfer",2,double,No,Communal,Communal,No,No,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/nicholas-hall
Cook/Douglass,Perry Hall,Dorm,174,4,198,First-Year,2,double,Air Cooled,Communal,Communal,No,No,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/perry-hall
Cook/Douglass,Starkey Apartments,Apartment,384,3,198,"Continuing, Graduate",4,double,Air Cooled,Private ,Yes,No,Yes,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/starkey-apartments
Cook/Douglass,Voorhees Residence Hall,Dorm,222,4,176,First-Year,2,double,Air Cooled,Communal,No,No,No,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/voorhees-residence-hall
College Ave,Wessels Hall,Dorm,60,3,228,Continuing,2,double,No,Communal,No,No,No,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/wessels-hall
Cook/Douglass,Woodbury Bunting-Cobb Hall,Dorm,228,3,176,"Continuing, First-Year",2,double,No,Communal,Communal,No,No,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/woodbury-bunting-cobb-hall
Busch,Marvin Apartments,Apartment,100,3,165,Living with Families,family,family,Air Cooled,Private ,Private ,No,Yes,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/marvin-apartments
Cook/Douglass,New Gibbons,Dorm,442,3,208,"Continuing, First-Year",2,double,No,Communal,Communal,No,Yes,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/new-gibbons
